SECTION ID,HIGHWAY,SECTION,SECTION LENGTH,SECTION DESCRIPTION,Date,DESCRIPTION,GROUP,TYPE,COUNTY,PTRUCKS,ADT,AADT,DIRECTION,85PCT,PRIORITY_POINTS
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/20/2020,JUST WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,4,1787,1380,E,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/16/2019,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,4351,3880,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),11/01/2018,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,3512,3510,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/06/2017,1 KM WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4,1898,1710,W,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/06/2017,1 KM WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,3,1830,1650,E,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/19/2016,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,3533,3220,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/28/2015,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,3227,2990,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),09/24/2013,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,3603,3320,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/22/2012,1 KM WEST OF OLD UNIACKE MINES RD (EB),B,VC,HAN,30,1625,1560,E,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/22/2012,1 KM WEST OF OLD UNIACKE MINES RD (WB),B,VC,HAN,4,1694,1630,W,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),07/07/2011,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,3747,3220,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),11/12/2009,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,2906,2970,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),10/20/2008,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,3093,2990,n/a,n/a,n/a
1060,1,60,4.61,UNIACKE MINES RD (MT UNIACKE) TO RTE 202 (LAKELANDS),08/01/2007,1 KM WEST OF OLD UNIACKE MINES RD,B,TC,HAN,n/a,3474,2800,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/13/2023,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,2627,2050,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),06/20/2022,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,2234,1930,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2021,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,3,999,970,E,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2021,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4,1047,1020,W,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/19/2020,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,1870,1820,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/09/2019,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,2074,1780,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/06/2017,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,3,1075,860,E,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/06/2017,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4,1130,910,W,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/19/2016,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,2176,1940,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/28/2015,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,1888,1690,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),09/16/2013,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,2226,2010,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),05/27/2013,JUST WEST OF ROBERT DR,C,TC,HAN,n/a,2143,2010,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/22/2012,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,2082,1980,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),07/07/2011,JUST WEST OF RAWDON RD (LAKELANDS),C,TC,HAN,n/a,2188,1700,n/a,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),11/10/2009,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,3,831,920,W,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),11/10/2009,JUST WEST OF RAWDON RD (LAKELANDS) (EB),C,VC,HAN,4,801,890,E,n/a,n/a
1065,1,65,9.75,RTE 202 (LAKELANDS) TO RTE 215 (NEWPORT CORNER),10/20/2008,JUST WEST OF RAWDON RD (LAKELANDS) (WB),C,VC,HAN,4,894,860,W,n/a,n/a
